,VR1:VRF Heat Pump Condenser Inlet Temperature [C](Hourly),VR2:VRF Heat Pump Condenser Inlet Temperature [C](Hourly),VR3:VRF Heat Pump Condenser Inlet Temperature [C](Hourly),VR4:VRF Heat Pump Condenser Inlet Temperature [C](Hourly)
2013-10-25 05:00:00,21.533333333333303,21.533333333333303,21.533333333333303,21.533333333333303
2013-10-25 06:00:00,21.2583333333333,21.2583333333333,21.2583333333333,21.2583333333333
2013-10-25 07:00:00,21.0083333333333,21.0083333333333,21.0083333333333,21.0083333333333
2013-10-25 08:00:00,22.2,22.2,22.2,22.2
2013-10-25 09:00:00,24.658333333333303,24.658333333333303,24.658333333333303,24.658333333333303
2013-10-25 10:00:00,26.983333333333302,26.983333333333302,26.983333333333302,26.983333333333302
2013-10-25 11:00:00,28.658333333333303,28.658333333333303,28.658333333333303,28.658333333333303
2013-10-25 12:00:00,29.841666666666697,29.841666666666697,29.841666666666697,29.841666666666697
2013-10-25 13:00:00,30.825,30.825,30.825,30.825
2013-10-25 14:00:00,31.025,31.025,31.025,31.025
2013-10-25 15:00:00,30.6666666666667,30.6666666666667,30.6666666666667,30.6666666666667
2013-10-25 16:00:00,29.7125,29.7125,29.7125,29.7125
2013-10-25 17:00:00,28.3625,28.3625,28.3625,28.3625
2013-10-25 18:00:00,27.158333333333303,27.158333333333303,27.158333333333303,27.158333333333303
2013-10-25 19:00:00,26.525,26.525,26.525,26.525
2013-10-25 20:00:00,25.525,25.525,25.525,25.525
2013-10-25 21:00:00,24.9583333333333,24.9583333333333,24.9583333333333,24.9583333333333
2013-10-25 22:00:00,24.9416666666667,24.9416666666667,24.9416666666667,24.9416666666667
2013-10-25 23:00:00,24.608333333333302,24.608333333333302,24.608333333333302,24.608333333333302
2013-10-26 00:00:00,24.4,24.4,24.4,24.4
2013-10-26 01:00:00,24.225,24.225,24.225,24.225
2013-10-26 02:00:00,24.158333333333303,24.158333333333303,24.158333333333303,24.158333333333303
2013-10-26 03:00:00,24.141666666666698,24.141666666666698,24.141666666666698,24.141666666666698
2013-10-26 04:00:00,23.925,23.925,23.925,23.925
2013-10-26 05:00:00,23.8,23.8,23.8,23.8
2013-10-26 06:00:00,23.3333333333333,23.3333333333333,23.3333333333333,23.3333333333333
2013-10-26 07:00:00,23.35,23.35,23.35,23.35
2013-10-26 08:00:00,24.591666666666697,24.591666666666697,24.591666666666697,24.591666666666697
2013-10-26 09:00:00,26.233333333333302,26.233333333333302,26.233333333333302,26.233333333333302
2013-10-26 10:00:00,28.0083333333333,28.0083333333333,28.0083333333333,28.0083333333333
2013-10-26 11:00:00,29.733333333333302,29.733333333333302,29.733333333333302,29.733333333333302
2013-10-26 12:00:00,30.8083333333333,30.8083333333333,30.8083333333333,30.8083333333333
2013-10-26 13:00:00,31.45,31.45,31.45,31.45
2013-10-26 14:00:00,31.7,31.7,31.7,31.7
2013-10-26 15:00:00,30.9416666666667,30.9416666666667,30.9416666666667,30.9416666666667
2013-10-26 16:00:00,29.8166666666667,29.8166666666667,29.8166666666667,29.8166666666667
2013-10-26 17:00:00,28.7,28.7,28.7,28.7
2013-10-26 18:00:00,27.85,27.85,27.85,27.85
2013-10-26 19:00:00,27.3666666666667,27.3666666666667,27.3666666666667,27.3666666666667
2013-10-26 20:00:00,27.141666666666698,27.141666666666698,27.141666666666698,27.141666666666698
2013-10-26 21:00:00,26.575,26.575,26.575,26.575
2013-10-26 22:00:00,26.025,26.025,26.025,26.025
2013-10-26 23:00:00,25.725,25.725,25.725,25.725
2013-10-27 00:00:00,25.425,25.425,25.425,25.425
2013-10-27 01:00:00,25.2416666666667,25.2416666666667,25.2416666666667,25.2416666666667
2013-10-27 02:00:00,24.966666666666697,24.966666666666697,24.966666666666697,24.966666666666697
2013-10-27 03:00:00,24.8,24.8,24.8,24.8
2013-10-27 04:00:00,24.7416666666667,24.7416666666667,24.7416666666667,24.7416666666667
2013-10-27 05:00:00,24.5833333333333,24.5833333333333,24.5833333333333,24.5833333333333
2013-10-27 06:00:00,24.4416666666667,24.4416666666667,24.4416666666667,24.4416666666667
2013-10-27 07:00:00,24.341666666666697,24.341666666666697,24.341666666666697,24.341666666666697
2013-10-27 08:00:00,24.766666666666698,24.766666666666698,24.766666666666698,24.766666666666698
2013-10-27 09:00:00,25.8,25.8,25.8,25.8
2013-10-27 10:00:00,27.35,27.35,27.35,27.35
2013-10-27 11:00:00,28.45,28.45,28.45,28.45
2013-10-27 12:00:00,28.9333333333333,28.9333333333333,28.9333333333333,28.9333333333333
2013-10-27 13:00:00,29.9166666666667,29.9166666666667,29.9166666666667,29.9166666666667
2013-10-27 14:00:00,30.266666666666698,30.266666666666698,30.266666666666698,30.266666666666698
2013-10-27 15:00:00,30.3333333333333,30.3333333333333,30.3333333333333,30.3333333333333
2013-10-27 16:00:00,29.5083333333333,29.5083333333333,29.5083333333333,29.5083333333333
2013-10-27 17:00:00,28.158333333333303,28.158333333333303,28.158333333333303,28.158333333333303
2013-10-27 18:00:00,27.2916666666667,27.2916666666667,27.2916666666667,27.2916666666667
2013-10-27 19:00:00,26.825,26.825,26.825,26.825
2013-10-27 20:00:00,26.641666666666698,26.641666666666698,26.641666666666698,26.641666666666698
2013-10-27 21:00:00,26.5416666666667,26.5416666666667,26.5416666666667,26.5416666666667
2013-10-27 22:00:00,26.4416666666667,26.4416666666667,26.4416666666667,26.4416666666667
2013-10-27 23:00:00,25.875,25.875,25.875,25.875
2013-10-28 00:00:00,25.6166666666667,25.6166666666667,25.6166666666667,25.6166666666667
2013-10-28 01:00:00,25.466666666666697,25.466666666666697,25.466666666666697,25.466666666666697
2013-10-28 02:00:00,25.3,25.3,25.3,25.3
2013-10-28 03:00:00,25.125,25.125,25.125,25.125
