,VR1:VRF Heat Pump Cooling COP [](Hourly),VR2:VRF Heat Pump Cooling COP [](Hourly),VR3:VRF Heat Pump Cooling COP [](Hourly),VR4:VRF Heat Pump Cooling COP [](Hourly),VR5:VRF Heat Pump Cooling COP [](Hourly)
2013-06-23 11:00:00,5.17753650435184,4.35125533482932,4.64564080356927,4.87674433157305,4.4978534785407005
2013-06-23 12:00:00,5.234747235785321,4.705577891599179,4.70773804951021,5.004911996836269,5.08075283626745
2013-06-23 13:00:00,5.14507395874375,4.71783109522147,4.765070424043491,5.02062627247338,5.1793132669315
2013-06-23 14:00:00,5.21961740032339,4.722938676045571,4.63628670216226,4.990584910553549,5.106657391803809
2013-06-23 15:00:00,5.184304846283809,4.78120908584754,4.78541907362945,5.16472479013137,5.24860527232511
2013-06-23 16:00:00,5.21675318853627,4.84960395897527,4.90540647081065,5.29259952366588,5.35423310183671
2013-06-23 17:00:00,5.1188742636666,4.77773476643412,4.9123952247249,5.30148313662227,5.30956977322406
2013-06-23 18:00:00,4.58980979750264,4.27723758467271,3.62996587403656,5.00343914229995,4.662557379073361
2013-06-23 19:00:00,3.44402298357037,3.13331591423065,4.02758435656801,4.74385454092032,3.4367634736435
2013-06-23 20:00:00,3.40721319639292,3.09614408631625,3.34886257957877,4.49337612768867,3.36929056039438
2013-06-23 21:00:00,3.4055043341774303,3.0908078789293905,3.19581975766305,4.8192779207623095,3.36168138330211
2013-06-23 22:00:00,3.42673058164063,3.1132791702807796,3.2076741030904903,0.0,3.38738565022439
2013-06-23 23:00:00,0.0,0.500076718341005,1.21847089436751,0.0,0.5443974938092221
2013-06-24 00:00:00,3.30035036683434,3.0228787612540198,3.0115844581584703,0.0,3.29477809314948
2013-06-24 01:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-24 02:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-24 03:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-24 04:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-24 05:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-24 06:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-24 07:00:00,3.2883427575001605,2.8138825814066295,3.00127737280113,3.17187953985551,3.20817103554209
2013-06-24 08:00:00,3.52871149579951,3.2807336341431896,3.3443861092886698,3.8019757956283597,3.62888420477799
2013-06-24 09:00:00,3.4014254353842794,3.00119380245099,3.36014426914643,4.522907784841269,3.3056441361472593
2013-06-24 10:00:00,3.53171141674465,3.0227865683359703,3.76977526227724,4.42118179811755,3.50167961074336
2013-06-24 11:00:00,3.71050837616288,3.1804586997079998,3.9340351703599103,4.94870642143722,3.84282795537194
2013-06-24 12:00:00,3.8278495072624303,3.27623688427741,3.9770394147433703,4.936153635824611,3.92869939180781
2013-06-24 13:00:00,3.96996720047107,4.2723192896718905,3.97673695257218,4.9403961353776,3.7785477202708195
2013-06-24 14:00:00,3.9495012936008598,3.91174117805505,4.038536220420521,4.93075630517088,3.7834205584242
2013-06-24 15:00:00,3.42331531314582,3.55314430877335,3.6226692528866,4.89912971637935,3.33414533933569
2013-06-24 16:00:00,4.11020129087618,3.32667580701787,3.45995505016919,4.91072978540613,4.45282415446161
2013-06-24 17:00:00,4.0769080319079105,3.07505980584907,3.2869357883581696,4.88022476879209,3.7585707045962
2013-06-24 18:00:00,3.7066781274198197,3.13396286283172,3.39987755068102,4.5843094864487,3.48029617027807
2013-06-24 19:00:00,3.22475713027438,2.89708211703208,4.0109041690942,4.1306047752201005,3.15271869797234
2013-06-24 20:00:00,0.0,0.0,0.0,3.72815198053739,0.0
2013-06-24 21:00:00,0.0,0.0,0.0,4.4325647370753,0.0
2013-06-24 22:00:00,0.0,0.0,0.0,3.38652533061716,0.0
2013-06-24 23:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-25 00:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-25 01:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-25 02:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-25 03:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-25 04:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-25 05:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-25 06:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-25 07:00:00,3.3489085779451604,3.0806367129940897,3.0696209204063702,0.0,3.1943169741464903
2013-06-25 08:00:00,3.51152665062655,3.2702778080899,3.3003242414545095,0.0,3.36866427975367
2013-06-25 09:00:00,3.30670213634017,3.04757801467543,3.04872923623911,4.10796899936398,3.31744631614283
2013-06-25 10:00:00,3.2938130006342203,2.93419074435052,3.12253341043122,3.51340367611908,3.17830829652537
2013-06-25 11:00:00,3.35057322610908,2.89296677793028,3.44662278545478,4.60791258367966,3.2074489082167
2013-06-25 12:00:00,3.60745266813519,2.93974082877487,3.7162927443577796,4.6775297789212,3.30727665085945
2013-06-25 13:00:00,3.8296364403633,3.1460505086652004,3.8936702404868297,4.9823361866122005,3.74096928053866
