,COP,PLR,Temp
2013-10-30 18:00:00,3.72421524756635,0.27741900321384805,24.533333333333303
2013-10-30 19:00:00,3.2130132247098704,0.25,24.025
2013-10-30 20:00:00,3.1838612484197997,0.25,23.9
2013-10-30 21:00:00,3.1775224351107996,0.25,23.375
2013-10-30 22:00:00,3.19354969446588,0.25,23.0583333333333
2013-10-30 23:00:00,1.0146416490919,0.08333333333333333,22.8666666666667
2013-10-31 00:00:00,3.07589423912662,0.25,22.525
2013-10-31 01:00:00,0.0,0.0,22.108333333333302
2013-10-31 02:00:00,0.0,0.0,21.783333333333303
2013-10-31 03:00:00,0.0,0.0,21.641666666666698
2013-10-31 04:00:00,0.0,0.0,21.775
2013-10-31 05:00:00,0.0,0.0,21.841666666666697
2013-10-31 06:00:00,0.0,0.0,21.6833333333333
2013-10-31 07:00:00,2.91515521671705,0.229166666666667,21.658333333333303
2013-10-31 08:00:00,3.61707597074484,0.26805063251023603,21.7583333333333
2013-10-31 09:00:00,5.74572920206571,0.551874291363383,21.858333333333302
2013-10-31 10:00:00,5.39923333955449,0.41418725579311205,21.725
2013-10-31 11:00:00,4.96591412275005,0.351825452714506,21.775
2013-10-31 12:00:00,4.2237015084481095,0.29435650279919395,22.016666666666698
2013-10-31 13:00:00,3.7467968395032503,0.261438109412305,22.216666666666697
2013-10-31 14:00:00,3.47746694472507,0.25,22.533333333333303
2013-10-31 15:00:00,3.48982140253991,0.25,22.525
2013-10-31 16:00:00,3.5318541605162697,0.25,22.108333333333302
2013-10-31 17:00:00,3.5352705277262797,0.25,21.783333333333303
2013-10-31 18:00:00,3.40024125925947,0.25,21.175
2013-10-31 19:00:00,3.29035442390965,0.25,20.6833333333333
2013-10-31 20:00:00,3.27643320177376,0.25,20.5416666666667
2013-10-31 21:00:00,3.2465471807924904,0.25,20.3833333333333
2013-10-31 22:00:00,3.26641830379174,0.25,20.125
2013-10-31 23:00:00,0.0,0.0,19.825
2013-11-01 00:00:00,0.0,0.0,19.7583333333333
2013-11-01 01:00:00,0.0,0.0,19.8
2013-11-01 02:00:00,0.0,0.0,19.7416666666667
2013-11-01 03:00:00,0.0,0.0,19.641666666666698
2013-11-01 04:00:00,0.0,0.0,19.425
2013-11-01 05:00:00,0.0,0.0,19.2416666666667
2013-11-01 06:00:00,0.0,0.0,18.908333333333303
2013-11-01 07:00:00,2.90844742310166,0.22083333333333302,18.8166666666667
2013-11-01 08:00:00,3.3081064329611003,0.25,19.6
2013-11-01 09:00:00,3.86588011633852,0.26022534081214005,20.5083333333333
2013-11-01 10:00:00,3.8715842056490803,0.264761242517308,21.2083333333333
2013-11-01 11:00:00,3.88736646768695,0.275140549643734,22.6666666666667
2013-11-01 12:00:00,4.02406957568674,0.296341867851507,24.2
2013-11-01 13:00:00,3.6852895059725697,0.279132432823409,25.4
2013-11-01 14:00:00,3.98840241919851,0.305375244789979,25.4916666666667
2013-11-01 15:00:00,3.79583696909891,0.291162457358592,25.55
2013-11-01 16:00:00,3.43875986832895,0.26092794305641,24.925
2013-11-01 17:00:00,3.3478132878800397,0.25,23.425
2013-11-01 18:00:00,3.22274311165771,0.25,22.1
2013-11-01 19:00:00,3.19657261855829,0.25,21.075
2013-11-01 20:00:00,3.2048374036946,0.25,20.525
2013-11-01 21:00:00,3.1641381163748403,0.25,20.283333333333303
2013-11-01 22:00:00,3.16134674450477,0.25,20.025
2013-11-01 23:00:00,0.0,0.0,19.725
2013-11-02 00:00:00,0.0,0.0,19.716666666666697
2013-11-02 01:00:00,0.0,0.0,19.5666666666667
2013-11-02 02:00:00,0.0,0.0,19.4583333333333
2013-11-02 03:00:00,0.0,0.0,19.7916666666667
2013-11-02 04:00:00,0.0,0.0,20.233333333333302
2013-11-02 05:00:00,0.0,0.0,20.108333333333302
2013-11-02 06:00:00,0.0,0.0,19.55
2013-11-02 07:00:00,3.05618978083772,0.23333333333333303,19.7083333333333
2013-11-02 08:00:00,3.24869429008248,0.25,20.408333333333303
2013-11-02 09:00:00,3.43800225282098,0.25,21.8666666666667
2013-11-02 10:00:00,3.35021705275541,0.25,24.1
2013-11-02 11:00:00,3.2383490836335294,0.253763161703742,26.5583333333333
2013-11-02 12:00:00,3.6135006352636703,0.28630521820066496,27.716666666666697
2013-11-02 13:00:00,3.4463964242962795,0.27197204428273897,27.8
2013-11-02 14:00:00,4.6792640067635505,0.40587315889912107,28.0625
2013-11-02 15:00:00,4.44088504744102,0.37851614960284896,28.5125
2013-11-02 16:00:00,3.7719245588039203,0.29820948284396004,27.7083333333333
2013-11-02 17:00:00,3.92874408663396,0.312324282599562,26.533333333333303
2013-11-02 18:00:00,3.1718601385948997,0.25,25.5583333333333
2013-11-02 19:00:00,3.0616187147989797,0.25,24.75
2013-11-02 20:00:00,3.0960773530903705,0.25,23.9166666666667
2013-11-02 21:00:00,3.12323547400271,0.25,23.033333333333303
2013-11-02 22:00:00,3.1575832607382,0.25,22.35
2013-11-02 23:00:00,0.0,0.0,21.341666666666697
2013-11-03 00:00:00,0.0,0.0,21.2083333333333
2013-11-03 01:00:00,0.0,0.0,21.2083333333333
2013-11-03 02:00:00,0.0,0.0,20.2416666666667
2013-11-03 03:00:00,0.0,0.0,20.05
2013-11-03 04:00:00,0.0,0.0,20.1833333333333
2013-11-03 05:00:00,0.0,0.0,19.8666666666667
2013-11-03 06:00:00,0.0,0.0,19.35
